amps,record_name,LRF,LMH,LTA,LSOL,RRF,RMH,RTA,RSOL
40,rc t11/t12,0.138996138812876,0.520000012857573,0.898148158176793,1.15454544775681,0.425076459818012,0.615942016006458,4.82352937935486,0.619289334111724
50,rc t11/t12,0.120312500076398,0.32067510956409,0.976470589008711,0.6428571300277,0.165198247600107,0.456043912396293,48.3955222410066,1.13297882307137
60,rc t11/t12,0.102067178604723,0.261029411966116,1.22222223346452,1.06153844416847,0.168377822805463,0.32231405579517,0.786885199448139,0.73157895744012
70,rc t11/t12,0.0769230734089535,0.221498361386799,0.766666677014695,0.999999992549419,0.126516466888324,0.25206612297953,0.759615346039896,0.922155656564607
80,rc t11/t12,0.0870841472114523,0.202898550536847,0.978494621911501,0.960526326463566,0.0965824653174247,0.221830975791216,0.691729344536676,1.17880806805383
90,rc t11/t12,0.0834813535769052,0.210389613576433,0.867924527937182,1.14516128814206,0.0983182402818009,0.234756102602639,0.958333322985305,1.11650510719289
100,rc t11/t12,0.105140187305668,0.216696266976446,0.999999995766715,0.936708843986435,0.106714630491116,0.226063816886161,0.828358146880882,0.368831165171852
110,rc t11/t12,0.90614219543968,0.060324825170541,1.04716981175177,3.90123460673828,0.155746510512187,0.180219787086443,0.952702688008351,0.761904805455648
120,rc t11/t12,1.54095238684865,0.0983701977087794,0.776923071059602,2.74615380109767,0.567251445787328,0.10225763235884,1.00854700070945,1.55844174090478
130,rc t11/t12,1.53899083283971,0.111316396766555,0.730158733866187,7.07339454288435,0.625223626046682,0.0550284634988694,1.06249987194316,1
140,rc t11/t12,1.03423523215712,0.195336566145605,1.09420290158276,7.37362638898909,0.28369905835809,0.0514223210552156,1.07284772865061,1.11219515003384
150,rc t11/t12,1.31104355722204,0.209844561237808,1.12962962179409,14.4123711868771,0.511127594771495,0.0891224852778708,0.484375046293282,1.35403720936397
60,rc L1/L2,0.0841865771044603,0.239130436467691,0.928571415932051,1.08823530289915,0.12773722504679,0.312500002587007,1.15053769160811,1.1685393156841
70,rc L1/L2,0.0732421888869794,0.242236029860446,1.02139035353666,0.88888889451004,0.296407190150277,0.362416110587498,0.919354864294398,1.42953024617799
80,rc L1/L2,0.0797165624682082,0.159353352858649,1.08490563425126,0.859154955035956,0.141317369524646,0.328530263944912,0.926229554049529,0.779735675185029
90,rc L1/L2,0.085931561317815,0.167968751182343,0.0495605467661981,1.29113923394036,0.145270260989926,0.279411770076832,1.23076916183433,1.52100849659225
100,rc L1/L2,14.2564652129601,0.143279172498589,0.868217035727779,0.964285704465646,0.254431685359275,0.170471842616085,1.07086614727553,1.28251117947915
110,rc L1/L2,0.166454081024985,0.0916114810546438,1.11282052054051,2.11458327872323,0.576923076116621,0.110301772175716,0.81645578000814,1.24878047447273
120,rc L1/L2,0.104988397717828,0.0730923701075957,0.942857133733983,5.09909903754005,1.20435967046519,0.0955943478960943,1.22794125155646,1.56024092340663
130,rc L1/L2,0.970477700179329,0.0692212609239696,1.29285713519749,7.9481479665032,2.0740202642465,0.120262389496595,0.96913583085879,1.24390245214379
140,rc L1/L2,0.585085081696726,0.0706106841574599,0.795580114215591,11.455555558361,1.32787843246328,0.160786969816694,63.9117640562124,1.28717949666293
150,rc L1/L2,1.27380410462946,0.0788704947769269,1.26373624034355,8.89682518684958,1.91271240167615,0.0929144353173903,0.713768136481595,0.956112829498888
60,rc T11/T12 L1/L2,0.0942472392644952,0.365131572497766,1.08808289301351,0.987500016647391,0.147113586315715,0.300395270093358,0.931506793949525,1.56914887040004
70,rc T11/T12 L1/L2,0.101351350047454,0.266055046033561,1.02112674563562,0.846153839383454,0.14020269631219,0.352517978438963,0.858064570213582,0.935294040924127
80,rc T11/T12 L1/L2,0.0758683706076206,0.189333332549201,0.837398374156104,0.810810806116782,0.094052550116881,0.330065369057306,0.87878785251586,0.70879130254203
90,rc T11/T12 L1/L2,0.0650602394468455,0.190476183169215,0.80419581589142,1.05882355035847,0.112590796825599,0.34319526293311,1.0656933881026,0.764705891036918
100,rc T11/T12 L1/L2,0.106245518789003,0.243847871876177,1.07352940427223,1.16417910825352,0.127053672522316,0.244680862109847,1.04575158764559,1.1219512804997
110,rc T11/T12 L1/L2,0.104674122534433,0.164335663748151,1.07586204932469,0.885714284345812,0.112185691710229,0.17675544088308,1.14102555554726,0.920634906117959
120,rc T11/T12 L1/L2,0.269689736820324,0.0858835122508257,0.75135134401506,1.35135134692944,0.165923279512812,0.246406571168601,1.30468749563443,1.08994699917437
130,rc T11/T12 L1/L2,0.654424030964691,0.0567901242358022,0.814516129541045,6.84210536144983,0.335236542736301,0.155251143354533,0.614634155985999,0.719456989289073
140,rc T11/T12 L1/L2,0.935367117459998,0.0537428049986811,0.859374993724487,10.4534883904273,0.867626912040186,0.136456216000239,1.07964598642407,0.832512379635682
150,rc T11/T12 L1/L2,0.648966177147532,0.0965268394444987,22.3715846996816,11.4404759915142,1.17456026489069,0.0745554052076194,0.562992097274873,0.642611665794462
